District,Year,Rainfall
MYSORE,2010,743.5
MYSORE,2011,657.9
MYSORE,2012,544.6
MYSORE,2013,754.6
MYSORE,2014,840.7
RAICHUR,1997,725.1
RAICHUR,1998,691.6
RAICHUR,1999,470.4
RAICHUR,2000,541.2
RAICHUR,2001,495.5
RAICHUR,2002,351.5
RAICHUR,2003,354.8
RAICHUR,2004,400.7
RAICHUR,2005,604.7
RAICHUR,2006,383.4
RAICHUR,2007,506.4
RAICHUR,2008,434.9
RAICHUR,2009,654.7
RAICHUR,2010,602.3
RAICHUR,2011,445.2
RAICHUR,2012,384.4
RAICHUR,2013,536.6
RAICHUR,2014,512.4
RAMANAGARA,2007,863.7
RAMANAGARA,2008,731.7
RAMANAGARA,2009,824
RAMANAGARA,2010,743.5
RAMANAGARA,2011,657.9
RAMANAGARA,2012,544.6
RAMANAGARA,2013,754.6
RAMANAGARA,2014,840.7
SHIMOGA,1997,741.3
SHIMOGA,1998,808.6
SHIMOGA,1999,808.3
SHIMOGA,2000,890.8
SHIMOGA,2001,632.8
SHIMOGA,2002,491
SHIMOGA,2003,559.1
SHIMOGA,2004,621.8
SHIMOGA,2005,954
SHIMOGA,2006,573.3
SHIMOGA,2007,863.7
SHIMOGA,2008,731.7
SHIMOGA,2009,824
SHIMOGA,2010,743.5
SHIMOGA,2011,657.9
SHIMOGA,2012,544.6
SHIMOGA,2013,754.6
SHIMOGA,2014,840.7
TUMKUR,1997,741.3
TUMKUR,1998,808.6
TUMKUR,1999,808.3
TUMKUR,2000,890.8
TUMKUR,2001,632.8
TUMKUR,2002,491
TUMKUR,2003,559.1
TUMKUR,2004,621.8
TUMKUR,2005,954
TUMKUR,2006,573.3
TUMKUR,2007,863.7
TUMKUR,2008,731.7
TUMKUR,2009,824
TUMKUR,2010,743.5
TUMKUR,2011,657.9
TUMKUR,2012,544.6
TUMKUR,2013,754.6
TUMKUR,2014,840.7
UDUPI,1998,2569.7
UDUPI,1999,2569
UDUPI,2000,2111.2
UDUPI,2001,1902.8
UDUPI,2002,1800.5
UDUPI,2003,2027.8
UDUPI,2004,1851.7
UDUPI,2005,2504.2
UDUPI,2006,2572.5
UDUPI,2007,2768.1
UDUPI,2008,2049
UDUPI,2009,3083.1
UDUPI,2010,2600.8
UDUPI,2011,2665.8
UDUPI,2012,1515.3
UDUPI,2013,2839.7
UDUPI,2014,2882.1
UTTAR KANNAD,1997,2905.7
UTTAR KANNAD,1998,2569.7
UTTAR KANNAD,1999,2569
UTTAR KANNAD,2000,2111.2
UTTAR KANNAD,2001,1902.8
UTTAR KANNAD,2002,1800.5
UTTAR KANNAD,2003,2027.8
UTTAR KANNAD,2004,1851.7
UTTAR KANNAD,2005,2504.2
UTTAR KANNAD,2006,2572.5
UTTAR KANNAD,2007,2768.1
UTTAR KANNAD,2008,2049
UTTAR KANNAD,2009,3083.1
UTTAR KANNAD,2010,2600.8
UTTAR KANNAD,2011,2665.8
UTTAR KANNAD,2012,1515.3
UTTAR KANNAD,2013,2839.7
UTTAR KANNAD,2014,2882.1
YADGIR,2010,719.2
YADGIR,2011,719
YADGIR,2012,591.2
YADGIR,2013,877.3
YADGIR,2014,642.6
